,Release ID,Album,Year,Artist Name,Label
0,157,1994,Autechre,Anti EP,Warp Records
1,194,1996,Squarepusher,Feed Me Weird Things,Rephlex
2,1322,1997,Squarepusher,Hard Normal Daddy,Warp Records
3,2493,1993,Autechre,Incunabula,Warp Records
4,2494,1994,Autechre,Amber,Warp Records
5,2496,1997,Autechre,Chiastic Slide,Warp Records
6,2502,1994,Autechre,"Basscad,EP",Warp Records
7,2503,1996,Autechre,We R Are Why / Are Y Are We?,Warp Records
8,2504,1997,Autechre,Envane,Warp Records
9,2507,1999,Autechre,EP7,Warp Records
10,2759,1998,Autechre,LP5,Warp Records
11,3894,1995,Autechre,Anvil Vapre,Warp Records
12,4046,2001,Autechre,Confield,Warp Records
13,6158,1999,Squarepusher,Selection Sixteen,Warp Records
14,7358,2001,Nobukazu Takemura,Hoshi No Koe,Thrill Jockey
15,11400,1979,Joy Division,Unknown Pleasures,Factory
16,12054,1998,Tortoise,TNT,Thrill Jockey
17,13939,1997,Autechre,Cichlisuite,Rough Trade
18,24549,2001,Squarepusher,Go Plastic,Warp Records
19,26299,1981,A Certain Ratio,To Each...,Factory
20,27718,1981,Japan,Tin Drum,Virgin
21,28523,1986,Harold Budd,The Moon And The Melodies,4AD
22,28526,1993,Cocteau Twins,Four-Calendar Café,Fontana
23,28527,1996,Cocteau Twins,Milk & Kisses,Fontana
24,28712,1997,Björk,Homogenic,One Little Indian
25,29250,1999,Nobukazu Takemura,Milano : For Issey Miyake Men By Naoki Takizawa,WEA Japan
26,30805,1998,Squarepusher,Music Is Rotted One Note,Warp Records
27,30809,1999,Squarepusher,Budakhan Mindphone,Warp Records
28,30831,1997,Broadcast,Work And Non Work,Warp Records
29,30900,2000,Broadcast,The Noise Made By People,Warp Records
30,40839,1999,Disco Inferno,The Mixing It Session,Tugboat Records
31,42541,1999,Stars Of The Lid,Avec Laudenum,Sub Rosa
32,51275,1983,Cocteau Twins,Sunburst And Snowblind,4AD
33,52631,1995,David Reeves,In Starless Space,Fax +49-69/450464
34,53283,1997,Stars Of The Lid,Gravitational Pull Vs. The Desire For An Aquatic Life,Kranky
35,53931,1989,The Blue Nile,Hats,Linn Records
36,57360,1998,Stars Of The Lid,Per Aspera Ad Astra,Kranky
37,60662,1982,Depeche Mode,A Broken Frame,Mute
38,61107,1984,Laurie Anderson,Mister Heartbreak,Warner Bros. Records
39,61122,1986,Jon Hassell,Power Spot,ECM Records
40,62107,1982,Cocteau Twins,Lullabies,4AD
41,62108,1983,Cocteau Twins,Head Over Heels,4AD
42,62111,1982,Cocteau Twins,Garlands,4AD
43,63993,1984,Cocteau Twins,Treasure,4AD
44,65449,1986,Depeche Mode,Black Celebration,Mute
45,68314,1991,Techno Animal,Ghosts,Pathological Records
46,68338,2001,Laurie Anderson,Life On A String,Nonesuch
47,68435,1995,Techno Animal,Re-Entry,Virgin
48,69857,2002,Sigur Rós,( ),FatCat Records
49,70802,1984,Laurie Anderson,United States Live,Warner Bros. Records
50,71229,1985,New Order,Low-life,Factory
51,71788,1996,Tortoise,Millions Now Living Will Never Die,Thrill Jockey
52,72009,1986,Cocteau Twins,Victorialand,4AD
53,72678,1995,Pan Sonic,Vakio,Blast First
54,72681,2002,Guitar,Sunkissed,Morr Music
55,73717,1999,Low,Secret Name,Kranky
56,73749,2002,Keith Fullerton Whitman,Playthroughs,Kranky
57,73760,1997,Low,Songs For A Dead Pilot,Kranky
58,73771,2001,Low,Things We Lost In The Fire,Kranky
59,74264,1995,Björk,Post,One Little Indian
60,77223,1990,Cocteau Twins,Iceblink Luck,4AD
61,80325,2000,Boom Bip,Circle,Mush
62,81692,1980,Joy Division,Closer,Factory
63,82154,1995,Stars Of The Lid,Music For Nitrous Oxide,Sedimental
64,84825,1991,My Bloody Valentine,Loveless,Creation Records
65,88009,2001,Jim O'Rourke,Insignificance,Drag City
66,92752,1995,Scorn,Gyral,Scorn Recordings
67,104402,1992,Paul Schütze,New Maps Of Hell,Extreme
68,110402,1986,A Primary Industry,Ultramarine,Sweatbox
69,116489,1979,Talking Heads,Fear Of Music,Sire
70,117615,2003,Nobukazu Takemura,10th,Thrill Jockey
71,126824,1983,Depeche Mode,Construction Time Again,Mute
72,130115,2003,Autechre,Draft 7.30,Warp Records
73,138276,1988,Cocteau Twins,Blue Bell Knoll,4AD
74,148818,2002,Nobukazu Takemura,Animate,Childisc
75,151789,1984,Talk Talk,It's My Life,EMI
76,152255,1991,Talk Talk,Laughing Stock,Verve Records
77,155322,1980,Visage,Visage,Polydor
78,158106,1986,David Sylvian,Gone To Earth,Virgin
79,165006,1994,Ryuichi Sakamoto,Sweet Revenge,Güt
80,175542,1995,Paul Schütze,Apart,Virgin
81,184948,1985,Cocteau Twins,Tiny Dynamine,4AD
